,Politik,Wirtschaft,Gesundheit,Sport,Prominenz / Personality,Service,Religion,Kriminalität / Katastrophen,Sonstiges
"Anne Will
(n=37)","54,10 %","27,00 %","2,70 %","5,40 %","0,00 %","2,70 %","5,40 %","0,00 %","2,70 %"
"Beckmann
(n=43)","37,20 %","11,60 %","11,60 %","4,70 %","23,30 %","0,00 %","2,30 %","7,00 %","2,30 %"
"Günther Jauch
(n=40)","65,00 %","20,00 %","7,50 %","0,00 %","2,50 %","0,00 %","0,00 %","0,00 %","5,00 %"
"hart aber fair
(n=36)","33,30 %","13,80 %","16,70 %","2,80 %","0,00 %","2,80 %","2,80 %","0,00 %","27,80 %"
"Menschen bei Maischberger
(n=41)","24,40 %","9,80 %","19,50 %","2,40 %","12,20 %","4,90 %","7,30 %","4,90 %","14,60 %"
"ARD-Talks
(n=197)","42,60 %","16,20 %","11,70 %","3,00 %","8,10 %","2,00 %","3,60 %","2,50 %","10,20 %"
"log in
(n=45)","46,70 %","22,30 %","8,90 %","4,40 %","0,00 %","0,00 %","4,40 %","0,00 %","13,30 %"
"maybrit illner
(n=41)","48,80 %","41,50 %","4,90 %","2,40 %","0,00 %","0,00 %","2,40 %","0,00 %","0,00 %"
"Alle Sendungen
(n=283)","44,20 %","20,80 %","10,20 %","3,20 %","5,70 %","1,40 %","3,50 %","1,80 %","9,20 %"
