Kategorie,Quotient
Politik,"1,7"
Journalismus,"1,39"
Experten,"1,58"
Wirtschaft,"1,43"
Zivilgesellschaft,"1,08"
Kultur / Sport,"1,25"
Religion,"0"
Normalbürger,"1"
